n,t(n),sqrt(n)*1.66554327,,lg(n)*6.86445121,,n*0.04760259,,n*lg(n)*0.00472434,,n^2*4.70071501e-05,,n^3*4.70042114e-08,,n*80994*5.87729879e-07,
10,0.447,5.266910275,23.23153506,22.80321333,499.8002745,0.4760259,0.000842503,0.156939178,0.084135281,0.004700715,0.195628658,4.70E-05,0.19976698,0.476025938,0.000842505
20,0.857,7.448535942,43.44834608,29.66766454,830.0543913,0.9520518,0.009034845,0.408365156,0.201273224,0.01880286,0.702574445,0.000376034,0.73380462,0.952051876,0.009034859
50,2.128,11.77716941,93.10647022,38.74197545,1340.583198,2.3801295,0.063569285,1.333174778,0.631747134,0.117517875,4.042038374,0.005875526,4.503412281,2.380129691,0.063569381
80,3.434,14.89707188,131.402017,43.39656696,1597.006758,3.8082072,0.140031029,2.389355022,1.09128313,0.300845761,9.816655488,0.024066156,11.62764882,3.808207506,0.140031257
100,4.247,16.6554327,153.9692021,45.60642666,1710.602174,4.760259,0.263434801,3.138783555,1.228143689,0.470071501,14.26518889,0.047004211,17.63996462,4.760259382,0.263435193
150,7.271,20.39865578,172.3353463,49.62187321,1793.596461,7.1403885,0.017059364,5.122709594,4.615151669,1.057660877,38.60558305,0.158639213,50.58567596,7.140389073,0.017059214
200,8.42,23.55433881,229.0482113,52.47087787,1940.479841,9.520518,1.211139868,7.22243511,1.434161665,1.880286004,42.76785915,0.376033691,64.70539398,9.520518764,1.21114155
300,14.421,28.84805566,208.139935,56.48632442,1769.491518,14.280777,0.01966249,11.66272119,7.608102007,4.230643509,103.8433654,1.269113708,172.972113,14.28077815,0.019662168
350,15.137,31.1594614,256.7192692,58.01292634,1838.34506,16.6609065,2.322291021,13.97423815,1.352015128,5.758375887,87.95859025,2.015305564,172.1788649,16.66090784,2.322295095
500,22.077,37.24267971,229.9978411,61.54518878,1557.737926,23.801295,2.973193247,21.17870666,0.806930918,11.75178753,106.6100127,5.875526425,262.487746,23.80129691,2.973199833
650,32.323,42.46318817,102.8234162,64.14346335,1012.541888,30.9416835,1.908035273,28.6946601,13.1648504,19.86052092,155.3133849,12.90853156,376.921585,30.94168598,1.908028414
800,36.592,47.10867762,110.6005082,66.19978029,876.6206538,38.082072,2.220314565,36.44868444,0.020539349,30.08457606,42.34656628,24.06615624,156.896762,38.08207506,2.220323672
900,44.361,49.9662981,31.41936679,67.36622217,529.2402472,42.842331,2.306355532,41.72727513,6.936506693,38.07579158,39.50384487,34.26607011,101.9076095,42.84233444,2.30634509
1000,46.252,52.66910275,41.17920767,68.40963999,490.96101,47.60259,1.824093348,47.08175333,0.688490584,47.0071501,0.570251674,47.0042114,0.56582199,47.60259382,1.824103666
,MSE,,130.530048,,1270.504386,,1.091361226,,2.847380776,,46.18153886,,99.56615497,,1.091362278
,,,,,,,,,,,,,,Fixed sum = 80994,
