n,t(n),sqrt(n)*1.63995681e+08,,lg(n)*4.66877021e+09,,n*504448.70675107,,n*lg(n)*30059.654101,,N^2*4.00021115,,N^3*2.73564568e-05,,n!
232,216476,2497907794,6.23846E+18,36687107581,1.34593E+21,117032100,1.36459E+16,54800300.23,2.97939E+15,215307.3649,1365707.909,341.6046719,46714076844,
255,263355,2618801016,6.85674E+18,37323799174,1.39305E+21,128634420.2,1.64791E+16,61278412.26,3.72284E+15,260113.73,10505831.03,453.6076689,69117142090,
280,311656,2744172616,7.52877E+18,37953754378,1.44046E+21,141245637.9,1.98624E+16,68421761.96,4.63899E+15,313616.5542,3843772.614,600.5289397,96755506077,
308,376668,2878112521,8.28136E+18,38595726734,1.4896E+21,155370201.7,2.4023E+16,76536997.13,5.8004E+15,379476.0305,7885035.478,799.3040187,1.41277E+11,
338,459616,3015023911,9.0876E+18,39221775650,1.53831E+21,170503662.9,2.8915E+16,85354305.14,7.20711E+15,457000.1226,6842814.464,1056.355135,2.10277E+11,
371,553323,3158779897,9.9744E+18,39849239413,1.58792E+21,187150470.2,3.48185E+16,95186514.85,8.95544E+15,550593.0629,7452556.586,1396.952296,3.04622E+11,
408,659212,3312550380,1.09686E+19,40489561085,1.63935E+21,205815072.4,4.20889E+16,106361563.2,1.1173E+16,665891.1489,44611029.68,1857.977012,4.32114E+11,
448,812440,3471134304,1.20431E+19,41119516289,1.69075E+21,225993020.6,5.07063E+16,118606227,1.38754E+16,802858.3786,91807467.7,2459.766537,6.56068E+11,
492,967856,3637600174,1.32251E+19,41750545325,1.74303E+21,248188763.7,6.11182E+16,132253975.3,1.7236E+16,968307.1118,203501.8684,3258.030573,9.30449E+11,
541,1173431,3814442241,1.4541E+19,42390028081,1.79681E+21,272906750.4,7.3839E+16,147653059.1,2.14563E+16,1170785.8,6997085.192,4331.632887,1.36679E+12,
595,1410303,4000284629,1.5991E+19,43030868496,1.85153E+21,300146980.5,8.92436E+16,164846054.5,2.67112E+16,1416174.752,34477476,5762.497423,1.97273E+12,
654,1708096,4193931036,1.75747E+19,43667693269,1.90672E+21,329909454.2,1.07716E+17,183873642.3,3.31843E+16,1710954.312,8169948.824,7652.319457,2.89151E+12,
719,2069691,4397408948,1.9319E+19,44305919455,1.96283E+21,362698620.2,1.30053E+17,205103052.4,4.12225E+16,2067953.156,3020100.673,10168.25709,4.24163E+12,
790,2498860,4609416544,2.12237E+19,44940222697,2.0194E+21,398514478.3,1.56828E+17,228582927.9,5.1114E+16,2496531.779,5420614.352,13487.8001,6.17707E+12,
869,3017359,4834396856,2.33422E+19,45582195052,2.07746E+21,438365926.2,1.89528E+17,255033065.6,6.35119E+16,3020803.452,11864251.27,17952.26194,8.99644E+12,
955,3683299,5067970712,2.5647E+19,46217822700,2.13575E+21,481748514.9,2.28546E+17,284180538.9,7.86787E+16,3648292.574,1225449856,23827.03275,1.33917E+13,
1050,4406660,5314067421,2.81925E+19,46856588385,2.19513E+21,529671142.1,2.75903E+17,316768102.7,9.75697E+16,4410232.793,12764848.93,31668.5183,1.91406E+13,
1155,5373115,5573440931,3.10034E+19,47498560740,2.2556E+21,582638256.3,3.33235E+17,353218884.1,1.20997E+17,5336381.679,1349336844,42150.79786,2.84192E+13,
1270,6470156,5844323819,3.40805E+19,48137881802,2.31663E+21,640649857.6,4.02184E+17,393615486.3,1.49882E+17,6451940.564,331802114.7,56036.50105,4.11409E+13,
1397,7815967,6129578533,3.7476E+19,48779854157,2.37871E+21,704714843.3,4.85668E+17,438751266.7,1.85705E+17,7806848.082,83154661.11,74584.5829,5.9929E+13,
1536,9484784,6427291816,4.11882E+19,49418757597,2.44128E+21,774833213.6,5.85758E+17,488724958.4,2.29671E+17,9437682.165,2218582827,99136.4799,8.80904E+13,
1689,11446003,6739803509,4.52708E+19,50058337620,2.50469E+21,852013865.7,7.06554E+17,544361688.3,2.83999E+17,11411486.35,1191398986,131810.1322,1.28011E+14,
1857,13801271,7067053230,4.97484E+19,50697046335,2.56879E+21,936761248.4,8.51855E+17,606144321.6,3.5087E+17,13794524.14,45520119.77,175184.4517,1.8567E+14,
2042,16639444,7410717865,5.46724E+19,51336710110,2.63375E+21,1030084259,1.02707E+18,674940130.5,4.3336E+17,16679936.45,1639638156,232930.8762,2.69174E+14,
